"name","numberOfCores","memoryInMB","cpuArchitecture","gpUs","gpuType","gpuRam","linuxPrice"
"Standard_DC4as_v5",4,16,"x64",0,"","","0.1720"
"Standard_DC4as_cc_v5",4,16,"x64",0,"","","0.1720"
"Standard_D4as_v5",4,16,"x64",0,"","","0.1720"
"Standard_D4ls_v5",4,8,"x64",0,"","","0.1700"
"Standard_F4s_v2",4,8,"x64",0,"","","0.1690"
"Standard_E2bds_v5",2,16,"x64",0,"","","0.1670"
"Standard_B4s_v2",4,16,"x64",0,"","","0.1660"
"Standard_B4ms",4,16,"x64",0,"","","0.1660"
"Standard_EC2eds_v6",2,16,"x64",0,"","","0.1640"
"Standard_E2ds_v6",2,16,"x64",0,"","","0.1640"
"Standard_D2ds_v7",2,8,"x64",0,"","","0.1630"
"Standard_D4als_v7",4,8,"x64",0,"","","0.1610"
"Standard_D4als_v6",4,8,"x64",0,"","","0.1610"
"Standard_D2nds_v6",2,8,"x64",0,"","","0.1590"
"Standard_DS2",2,7,"x64",0,"","","0.1540"
"Standard_D2",2,7,"x64",0,"","","0.1540"
"Standard_B4as_v2",4,16,"x64",0,"","","0.1500"
"Standard_E2bs_v5",2,16,"x64",0,"","","0.1490"
"Standard_B4ls_v2",4,8,"x64",0,"","","0.1470"
"Standard_DS2_v2",2,7,"x64",0,"","","0.1460"
"Standard_D2_v2",2,7,"x64",0,"","","0.1460"
"Standard_EC2ads_v6",2,16,"x64",0,"","","0.1450"
"Standard_E2ads_v7",2,16,"x64",0,"","","0.1450"
"Standard_E2ads_v6",2,16,"x64",0,"","","0.1450"
"Standard_E2ds_v5",2,16,"x64",0,"","","0.1440"
"Standard_E2ds_v4",2,16,"x64",0,"","","0.1440"
"Standard_E2d_v5",2,16,"x64",0,"","","0.1440"
"Standard_E2d_v4",2,16,"x64",0,"","","0.1440"
"Standard_F2alds_v7",2,4,"x64",0,"","","0.1430"
"Standard_D2nlds_v6",2,4,"x64",0,"","","0.1400"
"Standard_D2ns_v6",2,8,"x64",0,"","","0.1390"
"Standard_D2lds_v7",2,4,"x64",0,"","","0.1390"
"Standard_F2as_v7",2,8,"x64",0,"","","0.1370"
"Standard_F2as_v6",2,8,"x64",0,"","","0.1370"
"Standard_B4als_v2",4,8,"x64",0,"","","0.1330"
"Standard_EC2es_v6",2,16,"x64",0,"","","0.1320"
"Standard_E2s_v6",2,16,"x64",0,"","","0.1320"
"Standard_D2s_v7",2,8,"x64",0,"","","0.1320"
"Standard_EC2ads_v5",2,16,"x64",0,"","","0.1310"
"Standard_E2s_v5",2,16,"x64",0,"","","0.1260"
"Standard_E2s_v4",2,16,"x64",0,"","","0.1260"
"Standard_E2s_v3",2,16,"x64",0,"","","0.1260"
"Standard_E2as_v4",2,16,"x64",0,"","","0.1260"
"Standard_E2a_v4",2,16,"x64",0,"","","0.1260"
"Standard_E2_v5",2,16,"x64",0,"","","0.1260"
"Standard_E2_v4",2,16,"x64",0,"","","0.1260"
"Standard_E2_v3",2,16,"x64",0,"","","0.1260"
"Standard_DC2eds_v6",2,8,"x64",0,"","","0.1250"
"Standard_D2ds_v6",2,8,"x64",0,"","","0.1250"
"Standard_F2als_v7",2,4,"x64",0,"","","0.1210"
"Standard_F2als_v6",2,4,"x64",0,"","","0.1210"
"Standard_EC2as_v6",2,16,"x64",0,"","","0.1190"
"Standard_E2as_v7",2,16,"x64",0,"","","0.1190"
"Standard_E2as_v6",2,16,"x64",0,"","","0.1190"
"Standard_A2m_v2",2,16,"x64",0,"","","0.1190"
"Standard_D2ls_v7",2,4,"x64",0,"","","0.1170"
"Standard_DC2ads_v6",2,8,"x64",0,"","","0.1140"
"Standard_D2ads_v7",2,8,"x64",0,"","","0.1140"
"Standard_D2ads_v6",2,8,"x64",0,"","","0.1140"
"Standard_EC2as_v5",2,16,"x64",0,"","","0.1130"
"Standard_E2as_v5",2,16,"x64",0,"","","0.1130"
"Standard_DC1ds_v3",1,8,"x64",0,"","","0.1130"
"Standard_D2nls_v6",2,4,"x64",0,"","","0.1130"
"Standard_D2ds_v5",2,8,"x64",0,"","","0.1130"
"Standard_D2ds_v4",2,8,"x64",0,"","","0.1130"
"Standard_D2d_v5",2,8,"x64",0,"","","0.1130"
"Standard_D2d_v4",2,8,"x64",0,"","","0.1130"
"Standard_D2lds_v6",2,4,"x64",0,"","","0.1100"
"Standard_F1amds_v7",1,8,"x64",0,"","","0.1090"
"Standard_DC2ads_v5",2,8,"x64",0,"","","0.1030"
"Standard_D2ads_v5",2,8,"x64",0,"","","0.1030"
"Standard_DC2es_v6",2,8,"x64",0,"","","0.1010"
"Standard_D2s_v6",2,8,"x64",0,"","","0.1010"
"Standard_F2s",2,4,"x64",0,"","","0.0990"
"Standard_F2",2,4,"x64",0,"","","0.0990"
"Standard_DC1s_v3",1,8,"x64",0,"","","0.0960"
"Standard_DC1s_v2",1,4,"x64",0,"","","0.0960"
"Standard_D2s_v5",2,8,"x64",0,"","","0.0960"
"Standard_D2s_v4",2,8,"x64",0,"","","0.0960"
"Standard_D2s_v3",2,8,"x64",0,"","","0.0960"
"Standard_D2lds_v5",2,4,"x64",0,"","","0.0960"
"Standard_D2as_v4",2,8,"x64",0,"","","0.0960"
"Standard_D2a_v4",2,8,"x64",0,"","","0.0960"
"Standard_D2_v5",2,8,"x64",0,"","","0.0960"
"Standard_D2_v4",2,8,"x64",0,"","","0.0960"
"Standard_D2_v3",2,8,"x64",0,"","","0.0960"
"Standard_D2alds_v7",2,4,"x64",0,"","","0.0952"
"Standard_D2alds_v6",2,4,"x64",0,"","","0.0952"
"Standard_DC2as_v6",2,8,"x64",0,"","","0.0908"
"Standard_D2as_v7",2,8,"x64",0,"","","0.0908"
"Standard_D2as_v6",2,8,"x64",0,"","","0.0908"
"Standard_A2_v2",2,4,"x64",0,"","","0.0903"
"Standard_F1ams_v7",1,8,"x64",0,"","","0.0895"
"Standard_D2ls_v6",2,4,"x64",0,"","","0.0893"
"Standard_DC2as_v5",2,8,"x64",0,"","","0.0860"
"Standard_D2as_v5",2,8,"x64",0,"","","0.0860"
"Standard_F1ads_v7",1,4,"x64",0,"","","0.0858"
"Standard_D2ls_v5",2,4,"x64",0,"","","0.0850"
"Standard_F2s_v2",2,4,"x64",0,"","","0.0846"
"Standard_B2s_v2",2,8,"x64",0,"","","0.0832"
"Standard_B2ms",2,8,"x64",0,"","","0.0832"
"Standard_D2als_v7",2,4,"x64",0,"","","0.0804"
"Standard_D2als_v6",2,4,"x64",0,"","","0.0804"
"Standard_DS1",1,3.5,"x64",0,"","","0.0770"
"Standard_D1",1,3.5,"x64",0,"","","0.0770"
"Standard_B2as_v2",2,8,"x64",0,"","","0.0752"
"Standard_DS1_v2",1,3.5,"x64",0,"","","0.0730"
"Standard_D1_v2",1,3.5,"x64",0,"","","0.0730"
"Standard_F1alds_v7",1,2,"x64",0,"","","0.0715"
"Standard_F1as_v7",1,4,"x64",0,"","","0.0683"
"Standard_F1als_v7",1,2,"x64",0,"","","0.0605"
"Standard_F1s",1,2,"x64",0,"","","0.0497"
"Standard_F1",1,2,"x64",0,"","","0.0497"
"Standard_A1_v2",1,2,"x64",0,"","","0.0430"
"Standard_B2s",2,4,"x64",0,"","","0.0416"
"Standard_B2ls_v2",2,4,"x64",0,"","","0.0416"
"Standard_B2als_v2",2,4,"x64",0,"","","0.0376"
"Standard_B1ms",1,2,"x64",0,"","","0.0207"
"Standard_B2ts_v2",2,1,"x64",0,"","","0.0104"
"Standard_B1s",1,1,"x64",0,"","","0.0104"
"Standard_B2ats_v2",2,1,"x64",0,"","","0.0094"
"Standard_B1ls",1,0.5,"x64",0,"","","0.0052"
