"InstanceType","InstanceFamily","ProcessorVCPUCount","MemorySizeInMB","ProcessorArchitecture","PricePerHour","GPUCount","GPUName","GPUMemoryInMB","ProcessorDefaultCores"
"r5b.metal","Memory optimized",96,768,"x86_64","7.1520",0,"",0,48
"r5d.large","Memory optimized",2,16,"x86_64","0.1440",0,"",0,1
"r5d.xlarge","Memory optimized",4,32,"x86_64","0.2880",0,"",0,2
"r5d.2xlarge","Memory optimized",8,64,"x86_64","0.5760",0,"",0,4
"r5d.4xlarge","Memory optimized",16,128,"x86_64","1.1520",0,"",0,8
"r5d.8xlarge","Memory optimized",32,256,"x86_64","2.3040",0,"",0,16
"r5d.12xlarge","Memory optimized",48,384,"x86_64","3.4560",0,"",0,24
"r5d.16xlarge","Memory optimized",64,512,"x86_64","4.6080",0,"",0,32
"r5d.24xlarge","Memory optimized",96,768,"x86_64","6.9120",0,"",0,48
"r5d.metal","Memory optimized",96,768,"x86_64","6.9120",0,"",0,48
"r5dn.large","Memory optimized",2,16,"x86_64","0.1670",0,"",0,1
"r5dn.xlarge","Memory optimized",4,32,"x86_64","0.3340",0,"",0,2
"r5dn.2xlarge","Memory optimized",8,64,"x86_64","0.6680",0,"",0,4
"r5dn.4xlarge","Memory optimized",16,128,"x86_64","1.3360",0,"",0,8
"r5dn.8xlarge","Memory optimized",32,256,"x86_64","2.6720",0,"",0,16
"r5dn.12xlarge","Memory optimized",48,384,"x86_64","4.0080",0,"",0,24
"r5dn.16xlarge","Memory optimized",64,512,"x86_64","5.3440",0,"",0,32
"r5dn.24xlarge","Memory optimized",96,768,"x86_64","8.0160",0,"",0,48
"r5dn.metal","Memory optimized",96,768,"x86_64","8.0160",0,"",0,48
"r5n.large","Memory optimized",2,16,"x86_64","0.1490",0,"",0,1
"r5n.xlarge","Memory optimized",4,32,"x86_64","0.2980",0,"",0,2
"r5n.2xlarge","Memory optimized",8,64,"x86_64","0.5960",0,"",0,4
"r5n.4xlarge","Memory optimized",16,128,"x86_64","1.1920",0,"",0,8
"r5n.8xlarge","Memory optimized",32,256,"x86_64","2.3840",0,"",0,16
"r5n.12xlarge","Memory optimized",48,384,"x86_64","3.5760",0,"",0,24
"r5n.16xlarge","Memory optimized",64,512,"x86_64","4.7680",0,"",0,32
"r5n.24xlarge","Memory optimized",96,768,"x86_64","7.1520",0,"",0,48
"r5n.metal","Memory optimized",96,768,"x86_64","7.1520",0,"",0,48
"r6a.large","Memory optimized",2,16,"x86_64","0.1134",0,"",0,1
"r6a.xlarge","Memory optimized",4,32,"x86_64","0.2268",0,"",0,2
"r6a.2xlarge","Memory optimized",8,64,"x86_64","0.4536",0,"",0,4
"r6a.4xlarge","Memory optimized",16,128,"x86_64","0.9072",0,"",0,8
"r6a.8xlarge","Memory optimized",32,256,"x86_64","1.8144",0,"",0,16
"r6a.12xlarge","Memory optimized",48,384,"x86_64","2.7216",0,"",0,24
"r6a.16xlarge","Memory optimized",64,512,"x86_64","3.6288",0,"",0,32
"r6a.24xlarge","Memory optimized",96,768,"x86_64","5.4432",0,"",0,48
"r6a.32xlarge","Memory optimized",128,1024,"x86_64","7.2576",0,"",0,64
"r6a.48xlarge","Memory optimized",192,1536,"x86_64","10.8864",0,"",0,96
"r6a.metal","Memory optimized",192,1536,"x86_64","10.8864",0,"",0,96
"r6i.large","Memory optimized",2,16,"x86_64","0.1260",0,"",0,1
"r6i.xlarge","Memory optimized",4,32,"x86_64","0.2520",0,"",0,2
"r6i.2xlarge","Memory optimized",8,64,"x86_64","0.5040",0,"",0,4
"r6i.4xlarge","Memory optimized",16,128,"x86_64","1.0080",0,"",0,8
"r6i.8xlarge","Memory optimized",32,256,"x86_64","2.0160",0,"",0,16
"r6i.12xlarge","Memory optimized",48,384,"x86_64","3.0240",0,"",0,24
"r6i.16xlarge","Memory optimized",64,512,"x86_64","4.0320",0,"",0,32
"r6i.24xlarge","Memory optimized",96,768,"x86_64","6.0480",0,"",0,48
"r6i.32xlarge","Memory optimized",128,1024,"x86_64","8.0640",0,"",0,64
"r6i.metal","Memory optimized",128,1024,"x86_64","8.0640",0,"",0,64
"r6id.large","Memory optimized",2,16,"x86_64","0.1512",0,"",0,1
"r6id.xlarge","Memory optimized",4,32,"x86_64","0.3024",0,"",0,2
"r6id.2xlarge","Memory optimized",8,64,"x86_64","0.6048",0,"",0,4
"r6id.4xlarge","Memory optimized",16,128,"x86_64","1.2096",0,"",0,8
"r6id.8xlarge","Memory optimized",32,256,"x86_64","2.4192",0,"",0,16
"r6id.12xlarge","Memory optimized",48,384,"x86_64","3.6288",0,"",0,24
"r6id.16xlarge","Memory optimized",64,512,"x86_64","4.8384",0,"",0,32
"r6id.24xlarge","Memory optimized",96,768,"x86_64","7.2576",0,"",0,48
"r6id.32xlarge","Memory optimized",128,1024,"x86_64","9.6768",0,"",0,64
"r6id.metal","Memory optimized",128,1024,"x86_64","9.6768",0,"",0,64
"r6idn.large","Memory optimized",2,16,"x86_64","0.1954",0,"",0,1
"r6idn.xlarge","Memory optimized",4,32,"x86_64","0.3908",0,"",0,2
"r6idn.2xlarge","Memory optimized",8,64,"x86_64","0.7816",0,"",0,4
"r6idn.4xlarge","Memory optimized",16,128,"x86_64","1.5631",0,"",0,8
"r6idn.8xlarge","Memory optimized",32,256,"x86_64","3.1262",0,"",0,16
"r6idn.12xlarge","Memory optimized",48,384,"x86_64","4.6894",0,"",0,24
"r6idn.16xlarge","Memory optimized",64,512,"x86_64","6.2525",0,"",0,32
"r6idn.24xlarge","Memory optimized",96,768,"x86_64","9.3787",0,"",0,48
"r6idn.32xlarge","Memory optimized",128,1024,"x86_64","12.5050",0,"",0,64
"r6idn.metal","Memory optimized",128,1024,"x86_64","12.5050",0,"",0,64
"r6in.large","Memory optimized",2,16,"x86_64","0.1743",0,"",0,1
"r6in.xlarge","Memory optimized",4,32,"x86_64","0.3487",0,"",0,2
"r6in.2xlarge","Memory optimized",8,64,"x86_64","0.6973",0,"",0,4
"r6in.4xlarge","Memory optimized",16,128,"x86_64","1.3946",0,"",0,8
"r6in.8xlarge","Memory optimized",32,256,"x86_64","2.7893",0,"",0,16
"r6in.12xlarge","Memory optimized",48,384,"x86_64","4.1839",0,"",0,24
"r6in.16xlarge","Memory optimized",64,512,"x86_64","5.5786",0,"",0,32
"r6in.24xlarge","Memory optimized",96,768,"x86_64","8.3678",0,"",0,48
"r6in.32xlarge","Memory optimized",128,1024,"x86_64","11.1571",0,"",0,64
"r6in.metal","Memory optimized",128,1024,"x86_64","11.1571",0,"",0,64
"r7a.medium","Memory optimized",1,8,"x86_64","0.0761",0,"",0,1
"r7a.large","Memory optimized",2,16,"x86_64","0.1522",0,"",0,2
"r7a.xlarge","Memory optimized",4,32,"x86_64","0.3043",0,"",0,4
"r7a.2xlarge","Memory optimized",8,64,"x86_64","0.6086",0,"",0,8
"r7a.4xlarge","Memory optimized",16,128,"x86_64","1.2172",0,"",0,16
"r7a.8xlarge","Memory optimized",32,256,"x86_64","2.4344",0,"",0,32
"r7a.12xlarge","Memory optimized",48,384,"x86_64","3.6516",0,"",0,48
"r7a.16xlarge","Memory optimized",64,512,"x86_64","4.8688",0,"",0,64
"r7a.24xlarge","Memory optimized",96,768,"x86_64","7.3032",0,"",0,96
"r7a.32xlarge","Memory optimized",128,1024,"x86_64","9.7376",0,"",0,128
"r7a.48xlarge","Memory optimized",192,1536,"x86_64","14.6064",0,"",0,192
"r7a.metal-48xl","Memory optimized",192,1536,"x86_64","14.6064",0,"",0,192
"r7i.large","Memory optimized",2,16,"x86_64","0.1323",0,"",0,1
"r7i.xlarge","Memory optimized",4,32,"x86_64","0.2646",0,"",0,2
"r7i.2xlarge","Memory optimized",8,64,"x86_64","0.5292",0,"",0,4
"r7i.4xlarge","Memory optimized",16,128,"x86_64","1.0584",0,"",0,8
"r7i.8xlarge","Memory optimized",32,256,"x86_64","2.1168",0,"",0,16
"r7i.12xlarge","Memory optimized",48,384,"x86_64","3.1752",0,"",0,24
"r7i.16xlarge","Memory optimized",64,512,"x86_64","4.2336",0,"",0,32
"r7i.24xlarge","Memory optimized",96,768,"x86_64","6.3504",0,"",0,48
"r7i.metal-24xl","Memory optimized",96,768,"x86_64","6.3504",0,"",0,48
"r7i.48xlarge","Memory optimized",192,1536,"x86_64","12.7008",0,"",0,96
"r7i.metal-48xl","Memory optimized",192,1536,"x86_64","12.7008",0,"",0,96
"r7iz.large","Memory optimized",2,16,"x86_64","0.1860",0,"",0,1
"r7iz.xlarge","Memory optimized",4,32,"x86_64","0.3720",0,"",0,2
"r7iz.2xlarge","Memory optimized",8,64,"x86_64","0.7440",0,"",0,4
"r7iz.4xlarge","Memory optimized",16,128,"x86_64","1.4880",0,"",0,8
"r7iz.8xlarge","Memory optimized",32,256,"x86_64","2.9760",0,"",0,16
"r7iz.12xlarge","Memory optimized",48,384,"x86_64","4.4640",0,"",0,24
"r7iz.16xlarge","Memory optimized",64,512,"x86_64","5.9520",0,"",0,32
"r7iz.metal-16xl","Memory optimized",64,512,"x86_64","5.9520",0,"",0,32
"r7iz.32xlarge","Memory optimized",128,1024,"x86_64","11.9040",0,"",0,64
"r7iz.metal-32xl","Memory optimized",128,1024,"x86_64","11.9040",0,"",0,64
"r8a.medium","Memory optimized",1,8,"x86_64","0.0799",0,"",0,1
"r8a.large","Memory optimized",2,16,"x86_64","0.1598",0,"",0,2
"r8a.xlarge","Memory optimized",4,32,"x86_64","0.3195",0,"",0,4
"r8a.2xlarge","Memory optimized",8,64,"x86_64","0.6390",0,"",0,8
"r8a.4xlarge","Memory optimized",16,128,"x86_64","1.2781",0,"",0,16
"r8a.8xlarge","Memory optimized",32,256,"x86_64","2.5562",0,"",0,32
"r8a.12xlarge","Memory optimized",48,384,"x86_64","3.8342",0,"",0,48
"r8a.16xlarge","Memory optimized",64,512,"x86_64","5.1123",0,"",0,64
"r8a.24xlarge","Memory optimized",96,768,"x86_64","7.6685",0,"",0,96
"r8a.metal-24xl","Memory optimized",96,768,"x86_64","7.6685",0,"",0,96
"r8a.48xlarge","Memory optimized",192,1536,"x86_64","15.3370",0,"",0,192
"r8a.metal-48xl","Memory optimized",192,1536,"x86_64","15.3370",0,"",0,192
"r8i-flex.large","Memory optimized",2,16,"x86_64","0.1320",0,"",0,1
"r8i-flex.xlarge","Memory optimized",4,32,"x86_64","0.2639",0,"",0,2
"r8i-flex.2xlarge","Memory optimized",8,64,"x86_64","0.5279",0,"",0,4
"r8i-flex.4xlarge","Memory optimized",16,128,"x86_64","1.0558",0,"",0,8
"r8i-flex.8xlarge","Memory optimized",32,256,"x86_64","2.1115",0,"",0,16
"r8i-flex.12xlarge","Memory optimized",48,384,"x86_64","3.1673",0,"",0,24
"r8i-flex.16xlarge","Memory optimized",64,512,"x86_64","4.2230",0,"",0,32
"r8i.large","Memory optimized",2,16,"x86_64","0.1389",0,"",0,1
"r8i.xlarge","Memory optimized",4,32,"x86_64","0.2778",0,"",0,2
"r8i.2xlarge","Memory optimized",8,64,"x86_64","0.5557",0,"",0,4
"r8i.4xlarge","Memory optimized",16,128,"x86_64","1.1114",0,"",0,8
"r8i.8xlarge","Memory optimized",32,256,"x86_64","2.2227",0,"",0,16
"r8i.12xlarge","Memory optimized",48,384,"x86_64","3.3341",0,"",0,24
"r8i.16xlarge","Memory optimized",64,512,"x86_64","4.4454",0,"",0,32
"r8i.24xlarge","Memory optimized",96,768,"x86_64","6.6682",0,"",0,48
"r8i.32xlarge","Memory optimized",128,1024,"x86_64","8.8909",0,"",0,64
"r8i.48xlarge","Memory optimized",192,1536,"x86_64","13.3363",0,"",0,96
"r8i.metal-48xl","Memory optimized",192,1536,"x86_64","13.3363",0,"",0,96
"r8i.96xlarge","Memory optimized",384,3072,"x86_64","26.6726",0,"",0,192
"r8i.metal-96xl","Memory optimized",384,3072,"x86_64","26.6726",0,"",0,192
"r8ib.large","Memory optimized",2,16,"x86_64","0.2092",0,"",0,1
"r8ib.xlarge","Memory optimized",4,32,"x86_64","0.4184",0,"",0,2
"r8ib.2xlarge","Memory optimized",8,64,"x86_64","0.8368",0,"",0,4
"r8ib.4xlarge","Memory optimized",16,128,"x86_64","1.6736",0,"",0,8
"r8ib.8xlarge","Memory optimized",32,256,"x86_64","3.3472",0,"",0,16
"r8ib.12xlarge","Memory optimized",48,384,"x86_64","5.0208",0,"",0,24
"r8ib.16xlarge","Memory optimized",64,512,"x86_64","6.6944",0,"",0,32
"r8ib.24xlarge","Memory optimized",96,768,"x86_64","10.0416",0,"",0,48
"r8ib.32xlarge","Memory optimized",128,1024,"x86_64","13.3888",0,"",0,64
"r8ib.48xlarge","Memory optimized",192,1536,"x86_64","20.0832",0,"",0,96
"r8ib.metal-48xl","Memory optimized",192,1536,"x86_64","20.0832",0,"",0,96
"r8ib.96xlarge","Memory optimized",384,3072,"x86_64","40.1664",0,"",0,192
"r8ib.metal-96xl","Memory optimized",384,3072,"x86_64","40.1664",0,"",0,192
"r8id.large","Memory optimized",2,16,"x86_64","0.1663",0,"",0,1
"r8id.xlarge","Memory optimized",4,32,"x86_64","0.3326",0,"",0,2
"r8id.2xlarge","Memory optimized",8,64,"x86_64","0.6653",0,"",0,4
"r8id.4xlarge","Memory optimized",16,128,"x86_64","1.3306",0,"",0,8
"r8id.8xlarge","Memory optimized",32,256,"x86_64","2.6611",0,"",0,16
"r8id.12xlarge","Memory optimized",48,384,"x86_64","3.9917",0,"",0,24
"r8id.16xlarge","Memory optimized",64,512,"x86_64","5.3222",0,"",0,32
"r8id.24xlarge","Memory optimized",96,768,"x86_64","7.9834",0,"",0,48
"r8id.32xlarge","Memory optimized",128,1024,"x86_64","10.6445",0,"",0,64
"r8id.48xlarge","Memory optimized",192,1536,"x86_64","15.9667",0,"",0,96
"r8id.metal-48xl","Memory optimized",192,1536,"x86_64","15.9667",0,"",0,96
"r8id.96xlarge","Memory optimized",384,3072,"x86_64","31.9334",0,"",0,192
"r8id.metal-96xl","Memory optimized",384,3072,"x86_64","31.9334",0,"",0,192
"r8idb.large","Memory optimized",2,16,"x86_64","0.2345",0,"",0,1
"r8idb.xlarge","Memory optimized",4,32,"x86_64","0.4689",0,"",0,2
"r8idb.2xlarge","Memory optimized",8,64,"x86_64","0.9379",0,"",0,4
"r8idb.4xlarge","Memory optimized",16,128,"x86_64","1.8758",0,"",0,8
"r8idb.8xlarge","Memory optimized",32,256,"x86_64","3.7515",0,"",0,16
"r8idb.12xlarge","Memory optimized",48,384,"x86_64","5.6273",0,"",0,24
"r8idb.16xlarge","Memory optimized",64,512,"x86_64","7.5030",0,"",0,32
"r8idb.24xlarge","Memory optimized",96,768,"x86_64","11.2546",0,"",0,48
"r8idb.32xlarge","Memory optimized",128,1024,"x86_64","15.0061",0,"",0,64
"r8idb.48xlarge","Memory optimized",192,1536,"x86_64","22.5091",0,"",0,96
"r8idb.metal-48xl","Memory optimized",192,1536,"x86_64","22.5091",0,"",0,96
"r8idb.96xlarge","Memory optimized",384,3072,"x86_64","45.0182",0,"",0,192
"r8idb.metal-96xl","Memory optimized",384,3072,"x86_64","45.0182",0,"",0,192
"r8idn.large","Memory optimized",2,16,"x86_64","0.2345",0,"",0,1
"r8idn.xlarge","Memory optimized",4,32,"x86_64","0.4689",0,"",0,2
"r8idn.2xlarge","Memory optimized",8,64,"x86_64","0.9379",0,"",0,4
"r8idn.4xlarge","Memory optimized",16,128,"x86_64","1.8758",0,"",0,8
"r8idn.8xlarge","Memory optimized",32,256,"x86_64","3.7515",0,"",0,16
"r8idn.12xlarge","Memory optimized",48,384,"x86_64","5.6273",0,"",0,24
"r8idn.16xlarge","Memory optimized",64,512,"x86_64","7.5030",0,"",0,32
"r8idn.24xlarge","Memory optimized",96,768,"x86_64","11.2546",0,"",0,48
"r8idn.32xlarge","Memory optimized",128,1024,"x86_64","15.0061",0,"",0,64
"r8idn.48xlarge","Memory optimized",192,1536,"x86_64","22.5091",0,"",0,96
"r8idn.metal-48xl","Memory optimized",192,1536,"x86_64","22.5091",0,"",0,96
"r8idn.96xlarge","Memory optimized",384,3072,"x86_64","45.0182",0,"",0,192
"r8idn.metal-96xl","Memory optimized",384,3072,"x86_64","45.0182",0,"",0,192
"r8in.large","Memory optimized",2,16,"x86_64","0.2092",0,"",0,1
"r8in.xlarge","Memory optimized",4,32,"x86_64","0.4184",0,"",0,2
"r8in.2xlarge","Memory optimized",8,64,"x86_64","0.8368",0,"",0,4
"r8in.4xlarge","Memory optimized",16,128,"x86_64","1.6736",0,"",0,8
"r8in.8xlarge","Memory optimized",32,256,"x86_64","3.3472",0,"",0,16
"r8in.12xlarge","Memory optimized",48,384,"x86_64","5.0208",0,"",0,24
"r8in.16xlarge","Memory optimized",64,512,"x86_64","6.6944",0,"",0,32
"r8in.24xlarge","Memory optimized",96,768,"x86_64","10.0416",0,"",0,48
"r8in.32xlarge","Memory optimized",128,1024,"x86_64","13.3888",0,"",0,64
"r8in.48xlarge","Memory optimized",192,1536,"x86_64","20.0832",0,"",0,96
"r8in.metal-48xl","Memory optimized",192,1536,"x86_64","20.0832",0,"",0,96
"r8in.96xlarge","Memory optimized",384,3072,"x86_64","40.1664",0,"",0,192
"r8in.metal-96xl","Memory optimized",384,3072,"x86_64","40.1664",0,"",0,192
"t2.micro","General purpose",1,1,"x86_64","0.0116",0,"",0,1
"t2.small","General purpose",1,2,"x86_64","0.0230",0,"",0,1
"t2.medium","General purpose",2,4,"x86_64","0.0464",0,"",0,2
"t2.large","General purpose",2,8,"x86_64","0.0928",0,"",0,2
"t2.xlarge","General purpose",4,16,"x86_64","0.1856",0,"",0,4
"t2.2xlarge","General purpose",8,32,"x86_64","0.3712",0,"",0,8
"t3.micro","General purpose",2,1,"x86_64","0.0104",0,"",0,1
"t3.small","General purpose",2,2,"x86_64","0.0208",0,"",0,1
"t3.medium","General purpose",2,4,"x86_64","0.0416",0,"",0,1
"t3.large","General purpose",2,8,"x86_64","0.0832",0,"",0,1
"t3.xlarge","General purpose",4,16,"x86_64","0.1664",0,"",0,2
"t3.2xlarge","General purpose",8,32,"x86_64","0.3328",0,"",0,4
"t3a.micro","General purpose",2,1,"x86_64","0.0094",0,"",0,1
"t3a.small","General purpose",2,2,"x86_64","0.0188",0,"",0,1
"t3a.medium","General purpose",2,4,"x86_64","0.0376",0,"",0,1
"t3a.large","General purpose",2,8,"x86_64","0.0752",0,"",0,1
"t3a.xlarge","General purpose",4,16,"x86_64","0.1504",0,"",0,2
"t3a.2xlarge","General purpose",8,32,"x86_64","0.3008",0,"",0,4
"trn1.2xlarge","Machine Learning ASIC",8,32,"x86_64","1.3438",1,"",0,4
"trn1.32xlarge","Machine Learning ASIC",128,512,"x86_64","21.5000",16,"",0,64
"trn1n.32xlarge","Machine Learning ASIC",128,512,"x86_64","24.7800",16,"",0,64
"u-3tb1.56xlarge","Memory optimized",224,3072,"x86_64","27.3000",0,"",0,112
"u-6tb1.56xlarge","Memory optimized",224,6144,"x86_64","46.4039",0,"",0,224
"u-6tb1.112xlarge","Memory optimized",448,6144,"x86_64","54.6000",0,"",0,224
"u7i-12tb.224xlarge","Memory optimized",896,12288,"x86_64","125.5818",0,"",0,448
"u7i-6tb.112xlarge","Memory optimized",448,6144,"x86_64","62.7900",0,"",0,224
"u7i-8tb.112xlarge","Memory optimized",448,8192,"x86_64","83.7200",0,"",0,224
"u7in-16tb.224xlarge","Memory optimized",896,16384,"x86_64","180.4756",0,"",0,448
"u7in-24tb.224xlarge","Memory optimized",896,24576,"x86_64","270.7313",0,"",0,448
"u7in-32tb.224xlarge","Memory optimized",896,32768,"x86_64","360.9870",0,"",0,448
"vt1.3xlarge","Media Accelerator",12,24,"x86_64","0.6500",0,"",0,6
"vt1.6xlarge","Media Accelerator",24,48,"x86_64","1.3000",0,"",0,12
"vt1.24xlarge","Media Accelerator",96,192,"x86_64","5.2000",0,"",0,48
"x1.16xlarge","Memory optimized",64,976,"x86_64","6.6690",0,"",0,32
"x1.32xlarge","Memory optimized",128,1952,"x86_64","13.3380",0,"",0,64
"x1e.xlarge","Memory optimized",4,122,"x86_64","0.8340",0,"",0,2
"x1e.2xlarge","Memory optimized",8,244,"x86_64","1.6680",0,"",0,4
"x1e.4xlarge","Memory optimized",16,488,"x86_64","3.3360",0,"",0,8
"x1e.8xlarge","Memory optimized",32,976,"x86_64","6.6720",0,"",0,16
"x1e.16xlarge","Memory optimized",64,1952,"x86_64","13.3440",0,"",0,32
"x1e.32xlarge","Memory optimized",128,3904,"x86_64","26.6880",0,"",0,64
"x2idn.16xlarge","Memory optimized",64,1024,"x86_64","6.6690",0,"",0,32
"x2idn.24xlarge","Memory optimized",96,1536,"x86_64","10.0035",0,"",0,48
"x2idn.32xlarge","Memory optimized",128,2048,"x86_64","13.3380",0,"",0,64
"x2idn.metal","Memory optimized",128,2048,"x86_64","13.3380",0,"",0,64
"x2iedn.xlarge","Memory optimized",4,128,"x86_64","0.8336",0,"",0,2
"x2iedn.2xlarge","Memory optimized",8,256,"x86_64","1.6673",0,"",0,4
"x2iedn.4xlarge","Memory optimized",16,512,"x86_64","3.3345",0,"",0,8
"x2iedn.8xlarge","Memory optimized",32,1024,"x86_64","6.6690",0,"",0,16
"x2iedn.16xlarge","Memory optimized",64,2048,"x86_64","13.3380",0,"",0,32
"x2iedn.24xlarge","Memory optimized",96,3072,"x86_64","20.0070",0,"",0,48
"x2iedn.32xlarge","Memory optimized",128,4096,"x86_64","26.6760",0,"",0,64
"x2iedn.metal","Memory optimized",128,4096,"x86_64","26.6760",0,"",0,64
"x2iezn.2xlarge","Memory optimized",8,256,"x86_64","1.6680",0,"",0,4
"x2iezn.4xlarge","Memory optimized",16,512,"x86_64","3.3360",0,"",0,8
"x2iezn.6xlarge","Memory optimized",24,768,"x86_64","5.0040",0,"",0,12
"x2iezn.8xlarge","Memory optimized",32,1024,"x86_64","6.6720",0,"",0,16
"x2iezn.12xlarge","Memory optimized",48,1536,"x86_64","10.0080",0,"",0,24
"x2iezn.metal","Memory optimized",48,1536,"x86_64","10.0080",0,"",0,24
"x8i.large","Memory optimized",2,32,"x86_64","0.2188",0,"",0,1
"x8i.xlarge","Memory optimized",4,64,"x86_64","0.4377",0,"",0,2
"x8i.2xlarge","Memory optimized",8,128,"x86_64","0.8753",0,"",0,4
"x8i.4xlarge","Memory optimized",16,256,"x86_64","1.7506",0,"",0,8
"x8i.8xlarge","Memory optimized",32,512,"x86_64","3.5013",0,"",0,16
"x8i.12xlarge","Memory optimized",48,768,"x86_64","5.2519",0,"",0,24
"x8i.16xlarge","Memory optimized",64,1024,"x86_64","7.0026",0,"",0,32
"x8i.24xlarge","Memory optimized",96,1536,"x86_64","10.5038",0,"",0,48
"x8i.32xlarge","Memory optimized",128,2048,"x86_64","14.0051",0,"",0,64
"x8i.48xlarge","Memory optimized",192,3072,"x86_64","21.0077",0,"",0,96
"x8i.metal-48xl","Memory optimized",192,3072,"x86_64","21.0077",0,"",0,96
"x8i.64xlarge","Memory optimized",256,4096,"x86_64","28.0102",0,"",0,128
"x8i.96xlarge","Memory optimized",384,6144,"x86_64","48.7444",0,"",0,192
"x8i.metal-96xl","Memory optimized",384,6144,"x86_64","48.7444",0,"",0,192
"z1d.large","Memory optimized",2,16,"x86_64","0.1860",0,"",0,1
"z1d.xlarge","Memory optimized",4,32,"x86_64","0.3720",0,"",0,2
"z1d.2xlarge","Memory optimized",8,64,"x86_64","0.7440",0,"",0,4
"z1d.3xlarge","Memory optimized",12,96,"x86_64","1.1160",0,"",0,6
"z1d.6xlarge","Memory optimized",24,192,"x86_64","2.2320",0,"",0,12
"z1d.12xlarge","Memory optimized",48,384,"x86_64","4.4640",0,"",0,24
"z1d.metal","Memory optimized",48,384,"x86_64","4.4640",0,"",0,24
