"InstanceType","InstanceFamily","ProcessorVCPUCount","MemorySizeInMB","ProcessorArchitecture","PricePerHour","GPUCount","GPUName","GPUMemoryInMB","ProcessorDefaultCores"
"m5zn.metal","General purpose",48,192,"x86_64","3.9641",0,"",0,24
"m6a.large","General purpose",2,8,"x86_64","0.0864",0,"",0,1
"m6a.xlarge","General purpose",4,16,"x86_64","0.1728",0,"",0,2
"m6a.2xlarge","General purpose",8,32,"x86_64","0.3456",0,"",0,4
"m6a.4xlarge","General purpose",16,64,"x86_64","0.6912",0,"",0,8
"m6a.8xlarge","General purpose",32,128,"x86_64","1.3824",0,"",0,16
"m6a.12xlarge","General purpose",48,192,"x86_64","2.0736",0,"",0,24
"m6a.16xlarge","General purpose",64,256,"x86_64","2.7648",0,"",0,32
"m6a.24xlarge","General purpose",96,384,"x86_64","4.1472",0,"",0,48
"m6a.32xlarge","General purpose",128,512,"x86_64","5.5296",0,"",0,64
"m6a.48xlarge","General purpose",192,768,"x86_64","8.2944",0,"",0,96
"m6a.metal","General purpose",192,768,"x86_64","8.2944",0,"",0,96
"m6i.large","General purpose",2,8,"x86_64","0.0960",0,"",0,1
"m6i.xlarge","General purpose",4,16,"x86_64","0.1920",0,"",0,2
"m6i.2xlarge","General purpose",8,32,"x86_64","0.3840",0,"",0,4
"m6i.4xlarge","General purpose",16,64,"x86_64","0.7680",0,"",0,8
"m6i.8xlarge","General purpose",32,128,"x86_64","1.5360",0,"",0,16
"m6i.12xlarge","General purpose",48,192,"x86_64","2.3040",0,"",0,24
"m6i.16xlarge","General purpose",64,256,"x86_64","3.0720",0,"",0,32
"m6i.24xlarge","General purpose",96,384,"x86_64","4.6080",0,"",0,48
"m6i.32xlarge","General purpose",128,512,"x86_64","6.1440",0,"",0,64
"m6i.metal","General purpose",128,512,"x86_64","6.1440",0,"",0,64
"m6id.large","General purpose",2,8,"x86_64","0.1187",0,"",0,1
"m6id.xlarge","General purpose",4,16,"x86_64","0.2373",0,"",0,2
"m6id.2xlarge","General purpose",8,32,"x86_64","0.4746",0,"",0,4
"m6id.4xlarge","General purpose",16,64,"x86_64","0.9492",0,"",0,8
"m6id.8xlarge","General purpose",32,128,"x86_64","1.8984",0,"",0,16
"m6id.12xlarge","General purpose",48,192,"x86_64","2.8476",0,"",0,24
"m6id.16xlarge","General purpose",64,256,"x86_64","3.7968",0,"",0,32
"m6id.24xlarge","General purpose",96,384,"x86_64","5.6952",0,"",0,48
"m6id.32xlarge","General purpose",128,512,"x86_64","7.5936",0,"",0,64
"m6id.metal","General purpose",128,512,"x86_64","7.5936",0,"",0,64
"m6idn.large","General purpose",2,8,"x86_64","0.1591",0,"",0,1
"m6idn.xlarge","General purpose",4,16,"x86_64","0.3182",0,"",0,2
"m6idn.2xlarge","General purpose",8,32,"x86_64","0.6365",0,"",0,4
"m6idn.4xlarge","General purpose",16,64,"x86_64","1.2730",0,"",0,8
"m6idn.8xlarge","General purpose",32,128,"x86_64","2.5459",0,"",0,16
"m6idn.12xlarge","General purpose",48,192,"x86_64","3.8189",0,"",0,24
"m6idn.16xlarge","General purpose",64,256,"x86_64","5.0918",0,"",0,32
"m6idn.24xlarge","General purpose",96,384,"x86_64","7.6378",0,"",0,48
"m6idn.32xlarge","General purpose",128,512,"x86_64","10.1837",0,"",0,64
"m6idn.metal","General purpose",128,512,"x86_64","10.1837",0,"",0,64
"m6in.large","General purpose",2,8,"x86_64","0.1392",0,"",0,1
"m6in.xlarge","General purpose",4,16,"x86_64","0.2785",0,"",0,2
"m6in.2xlarge","General purpose",8,32,"x86_64","0.5569",0,"",0,4
"m6in.4xlarge","General purpose",16,64,"x86_64","1.1138",0,"",0,8
"m6in.8xlarge","General purpose",32,128,"x86_64","2.2277",0,"",0,16
"m6in.12xlarge","General purpose",48,192,"x86_64","3.3415",0,"",0,24
"m6in.16xlarge","General purpose",64,256,"x86_64","4.4554",0,"",0,32
"m6in.24xlarge","General purpose",96,384,"x86_64","6.6830",0,"",0,48
"m6in.32xlarge","General purpose",128,512,"x86_64","8.9107",0,"",0,64
"m6in.metal","General purpose",128,512,"x86_64","8.9107",0,"",0,64
"m7a.medium","General purpose",1,4,"x86_64","0.0580",0,"",0,1
"m7a.large","General purpose",2,8,"x86_64","0.1159",0,"",0,2
"m7a.xlarge","General purpose",4,16,"x86_64","0.2318",0,"",0,4
"m7a.2xlarge","General purpose",8,32,"x86_64","0.4637",0,"",0,8
"m7a.4xlarge","General purpose",16,64,"x86_64","0.9274",0,"",0,16
"m7a.8xlarge","General purpose",32,128,"x86_64","1.8547",0,"",0,32
"m7a.12xlarge","General purpose",48,192,"x86_64","2.7821",0,"",0,48
"m7a.16xlarge","General purpose",64,256,"x86_64","3.7094",0,"",0,64
"m7a.24xlarge","General purpose",96,384,"x86_64","5.5642",0,"",0,96
"m7a.32xlarge","General purpose",128,512,"x86_64","7.4189",0,"",0,128
"m7a.48xlarge","General purpose",192,768,"x86_64","11.1283",0,"",0,192
"m7a.metal-48xl","General purpose",192,768,"x86_64","11.1283",0,"",0,192
"m7i-flex.large","General purpose",2,8,"x86_64","0.0958",0,"",0,1
"m7i-flex.xlarge","General purpose",4,16,"x86_64","0.1915",0,"",0,2
"m7i-flex.2xlarge","General purpose",8,32,"x86_64","0.3830",0,"",0,4
"m7i-flex.4xlarge","General purpose",16,64,"x86_64","0.7661",0,"",0,8
"m7i-flex.8xlarge","General purpose",32,128,"x86_64","1.5322",0,"",0,16
"m7i-flex.12xlarge","General purpose",48,192,"x86_64","2.2982",0,"",0,24
"m7i-flex.16xlarge","General purpose",64,256,"x86_64","3.0643",0,"",0,32
"m7i.large","General purpose",2,8,"x86_64","0.1008",0,"",0,1
"m7i.xlarge","General purpose",4,16,"x86_64","0.2016",0,"",0,2
"m7i.2xlarge","General purpose",8,32,"x86_64","0.4032",0,"",0,4
"m7i.4xlarge","General purpose",16,64,"x86_64","0.8064",0,"",0,8
"m7i.8xlarge","General purpose",32,128,"x86_64","1.6128",0,"",0,16
"m7i.12xlarge","General purpose",48,192,"x86_64","2.4192",0,"",0,24
"m7i.16xlarge","General purpose",64,256,"x86_64","3.2256",0,"",0,32
"m7i.24xlarge","General purpose",96,384,"x86_64","4.8384",0,"",0,48
"m7i.metal-24xl","General purpose",96,384,"x86_64","4.8384",0,"",0,48
"m7i.48xlarge","General purpose",192,768,"x86_64","9.6768",0,"",0,96
"m7i.metal-48xl","General purpose",192,768,"x86_64","9.6768",0,"",0,96
"m8a.medium","General purpose",1,4,"x86_64","0.0609",0,"",0,1
"m8a.large","General purpose",2,8,"x86_64","0.1217",0,"",0,2
"m8a.xlarge","General purpose",4,16,"x86_64","0.2434",0,"",0,4
"m8a.2xlarge","General purpose",8,32,"x86_64","0.4869",0,"",0,8
"m8a.4xlarge","General purpose",16,64,"x86_64","0.9738",0,"",0,16
"m8a.8xlarge","General purpose",32,128,"x86_64","1.9475",0,"",0,32
"m8a.12xlarge","General purpose",48,192,"x86_64","2.9213",0,"",0,48
"m8a.16xlarge","General purpose",64,256,"x86_64","3.8950",0,"",0,64
"m8a.24xlarge","General purpose",96,384,"x86_64","5.8426",0,"",0,96
"m8a.metal-24xl","General purpose",96,384,"x86_64","5.8426",0,"",0,96
"m8a.48xlarge","General purpose",192,768,"x86_64","11.6851",0,"",0,192
"m8a.metal-48xl","General purpose",192,768,"x86_64","11.6851",0,"",0,192
"m8azn.medium","General purpose",1,4,"x86_64","0.1032",0,"",0,1
"m8azn.large","General purpose",2,8,"x86_64","0.2065",0,"",0,2
"m8azn.xlarge","General purpose",4,16,"x86_64","0.4129",0,"",0,4
"m8azn.3xlarge","General purpose",12,48,"x86_64","1.2388",0,"",0,12
"m8azn.6xlarge","General purpose",24,96,"x86_64","2.4775",0,"",0,24
"m8azn.12xlarge","General purpose",48,192,"x86_64","4.9550",0,"",0,48
